ID,식품명,상품명,식품대분류,식품상세분류,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
383,잡채,잡채,볶음류,기타 볶음류,291,48.5,9.4,6.6,1.4,7.3,719.68
384,잣,"잣, 생것",농축산물,견과류 및 종실류,630,19.38,15.96,59.28,1.5,4.1,1
385,장어구이,양념장어구이,구이류,어패류구이,433.352,8.804,30.771,30.561,4.182,1.31,704.637
386,장어초밥,장어초밥,밥류,김밥(초밥)류,486.26,80.681,16.52,10.828,13.674,3.232,1270.911
387,장조림,장조림,조림류,조림류,16.92,0.29,1.47,1.05,0,0,67.77
388,적양배추,적양배추,농축산물,채소류,31,7.37,1.43,0.16,3.91,2.1,27
389,전복,"전복, 참전복, 생것",농축산물,어패류 및 기타 수산물,90,5.1,15,0.7,0,0,0
390,전복죽,전복죽,죽 및 스프류,죽류,317,38.5,7.3,14.9,0,6.2,631.68
391,절임배추,"방울다다기양배추, 데친것",농축산물,채소류,49,9.8,5.3,0.1,3.7,5.2,5
392,젓갈,오징어젓갈,젓갈,젓갈,102,11.7,13.2,0.3,0,0,3793
